ID_Transaction,deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category,Product_Visits,Product_Category_Visits,CA
ORD201612013021,desktop,Macintosh,(not set),(none),Americas,Google Men's Lightweight Microfleece Jacket Black,Apparel,23,24,1
ORD201612012398,desktop,Macintosh,(not set),(none),Americas,YouTube Custom Decals,Office,13,9,1
ORD201612012717,desktop,Macintosh,(not set),(none),Americas,Google Men's  Zip Hoodie,Apparel,13,18,1
ORD201612012950,desktop,Windows,(not set),(none),Americas,Google Men's Short Sleeve Hero Tee Charcoal,Apparel,7,7,1
ORD201612012537,tablet,iOS,(not set),(none),Americas,26 oz Double Wall Insulated Bottle,Drinkware,7,3,1
ORD201612013020,desktop,Chrome OS,(not set),(none),Americas,26 oz Double Wall Insulated Bottle,Drinkware,28,8,1
ORD201612012717,desktop,Macintosh,(not set),(none),Americas,Google Tri-blend Hoodie Grey,Apparel,9,18,1
ORD201612012950,desktop,Windows,(not set),(none),Americas,Windup Android,Lifestyle,11,7,1
ORD201612013013,desktop,Linux,(not set),(none),Americas,Google Laptop and Cell Phone Stickers,Office,18,10,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Google Laptop Backpack,Bags,8,12,1
ORD201612012811,desktop,Macintosh,(not set),(none),Americas,Men's Softshell Jacket Black/Grey,Apparel,6,6,1
ORD201612013013,desktop,Linux,(not set),(none),Americas,Engraved Ceramic Google Mug,Drinkware,20,20,1
ORD201612012962,desktop,Macintosh,(not set),(none),Americas,Colored Pencil Set,Office,18,24,1
ORD201612012900,desktop,Macintosh,(not set),(none),Americas,Google Women's Fleece Hoodie,Apparel,28,5,1
ORD201612013001,desktop,Macintosh,(not set),(none),Americas,Engraved Ceramic Google Mug,Drinkware,11,10,1
ORD201612013006,desktop,Windows,(not set),(none),Americas,Google Laptop and Cell Phone Stickers,Office,10,18,1
ORD201612012775,mobile,Android,(not set),(none),Americas,Google Youth Short Sleeve Tee White,Apparel,15,7,1
ORD201612013012,desktop,Macintosh,(not set),(none),Americas,YouTube Custom Decals,Office,10,12,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Spiral Notebook and Pen Set,Office,7,108,1
ORD201612012940,desktop,Chrome OS,(not set),(none),Americas,Android BTTF Moonshot Graphic Tee,Apparel,5,30,1
ORD201612012826,mobile,iOS,(not set),(none),Americas,Retractable Ballpoint Pen Red,Office,13,8,1
ORD201612012579,desktop,Windows,(not set),(none),Americas,Gift Card - $50.00,Gift Cards,25,8,1
ORD201612012951,mobile,Android,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,17,12,1
ORD201612013008,desktop,Macintosh,(not set),(none),Americas,Google Car Clip Phone Holder,Electronics,20,6,1
ORD201612012974,desktop,Macintosh,(not set),(none),Americas,Google Hard Cover Journal,Office,10,10,1
ORD201612012997,desktop,Macintosh,(not set),(none),Americas,Google Sunglasses,Lifestyle,106,30,1
ORD201612012935,desktop,Linux,(not set),(none),Americas,Google Tri-blend Hoodie Grey,Apparel,9,15,1
ORD201612012979,desktop,Chrome OS,(not set),(none),Americas,Reusable Shopping Bag,Bags,10,10,1
ORD201612012951,mobile,Android,(not set),(none),Americas,Google Men's Long Sleeve Raglan Ocean Blue,Apparel,20,12,1
ORD201612012979,desktop,Chrome OS,(not set),(none),Americas,Google Tube Power Bank,Electronics,11,5,1
ORD201612013006,desktop,Windows,(not set),(none),Americas,Recycled Paper Journal Set,Office,10,18,1
ORD201612013027,desktop,Macintosh,(not set),(none),Americas,Waterproof Backpack,Bags,12,5,1
ORD201612012759,desktop,Macintosh,(not set),(none),Europe,Google Tri-blend Hoodie Grey,Apparel,14,10,1
ORD201612012940,desktop,Chrome OS,(not set),(none),Americas,Google Women's Vintage Hero Tee White,Apparel,18,30,1
ORD201612012974,desktop,Macintosh,(not set),(none),Americas,Leatherette Journal,Office,12,10,1
ORD201612012826,mobile,iOS,(not set),(none),Americas,Colored Pencil Set,Office,11,8,1
ORD201612012844,desktop,Macintosh,(not set),(none),Americas,26 oz Double Wall Insulated Bottle,Drinkware,31,17,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Ballpoint Stick Pen 4 Pack,Office,12,108,1
ORD201612013016,desktop,Macintosh,(not set),(none),Americas,Google Water Resistant Bluetooth Speaker,Electronics,16,6,1
ORD201612012659,desktop,Macintosh,(not set),(none),Americas,Google Twill Cap,Apparel,13,9,1
ORD201612012997,desktop,Macintosh,(not set),(none),Americas,Google 22 oz Water Bottle,Drinkware,62,22,1
ORD201612013001,desktop,Macintosh,(not set),(none),Americas,Google 22 oz Water Bottle,Drinkware,11,10,1
ORD201612013012,desktop,Macintosh,(not set),(none),Americas,1 oz Hand Sanitizer,Lifestyle,10,8,1
ORD201612012997,desktop,Macintosh,(not set),(none),Americas,Windup Android,Lifestyle,54,30,1
ORD201612013021,desktop,Macintosh,(not set),(none),Americas,Android 24 oz Contigo Bottle,Drinkware,16,6,1
ORD201612012717,desktop,Macintosh,(not set),(none),Americas,Google Men's Pullover Hoodie Grey,Apparel,9,18,1
ORD201612013017,desktop,Macintosh,(not set),(none),Americas,Google 17oz Stainless Steel Sport Bottle,Drinkware,11,7,1
ORD201612012986,desktop,Macintosh,(not set),(none),Americas,YouTube Youth Short Sleeve Tee Red,Apparel,13,12,1
ORD201612013027,desktop,Macintosh,(not set),(none),Americas,Google Men's Vintage Badge Tee Black,Apparel,10,10,1
ORD201612012832,desktop,Windows,(not set),(none),Americas,Google Men's  Zip Hoodie,Apparel,14,7,1
ORD201612012935,desktop,Linux,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,12,15,1
ORD201612012994,mobile,iOS,(not set),(none),Asia,"Google High Capacity 10,400mAh Charger",Electronics,28,12,1
ORD201612013002,desktop,Macintosh,(not set),(none),Americas,Google Accent Insulated Stainless Steel Bottle,Drinkware,12,6,1
ORD201612013017,desktop,Macintosh,(not set),(none),Americas,Google Kick Ball,Lifestyle,17,21,1
ORD201612013027,desktop,Macintosh,(not set),(none),Americas,Google Women's Yoga Jacket Black,Apparel,16,10,1
ORD201612012956,desktop,Windows,(not set),(none),Americas,Google Men's  Zip Hoodie,Apparel,10,18,1
ORD201612012979,desktop,Chrome OS,(not set),(none),Americas,Collapsible Shopping Bag,Bags,10,10,1
ORD201612013006,desktop,Windows,(not set),(none),Americas,Google Slim Utility Travel Bag,Bags,10,6,1
ORD201612012979,desktop,Chrome OS,(not set),(none),Americas,Waze Mobile Phone Vent Mount,Waze,10,5,1
ORD201612012398,desktop,Macintosh,(not set),(none),Americas,YouTube Men's Short Sleeve Hero Tee Black,Apparel,18,9,1
ORD201612012956,desktop,Windows,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,12,18,1
ORD201612012920,desktop,Macintosh,(not set),(none),Americas,Foam Can and Bottle Cooler,Drinkware,10,10,1
ORD201612012986,desktop,Macintosh,(not set),(none),Americas,Google Women's Short Sleeve Hero Tee Black,Apparel,10,12,1
ORD201612012615,desktop,Windows,(not set),(none),Americas,Google Men's Pullover Hoodie Grey,Apparel,14,8,1
ORD201612014817,desktop,Macintosh,(not set),referral,Americas,Engraved Ceramic Google Mug,Drinkware,4,4,1
ORD201612012888,desktop,Windows,(not set),(none),Americas,Google Laptop and Cell Phone Stickers,Office,10,5,1
ORD201612013021,desktop,Macintosh,(not set),(none),Americas,Google Water Resistant Bluetooth Speaker,Electronics,16,6,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Grip Highlighter Pen 3 Pack,Office,6,108,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Ballpoint Pen Blue,Office,6,108,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Google Men's Quilted Insulated Vest Black,Apparel,6,12,1
ORD201612012988,desktop,Macintosh,(not set),(none),Americas,Google Men's Pullover Hoodie Grey,Apparel,9,4,1
ORD201612012950,desktop,Windows,(not set),(none),Americas,Google RFID Journal,Office,7,7,1
ORD201612013003,desktop,Macintosh,(not set),(none),Americas,24 oz YouTube Sergeant Stripe Bottle,Drinkware,7,6,1
ORD201612013002,desktop,Macintosh,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,15,6,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Maze Pen,Office,44,108,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Recycled Paper Journal Set,Office,25,108,1
ORD201612012940,desktop,Chrome OS,(not set),(none),Americas,Google Women's Vintage Hero Tee Lavender,Apparel,6,30,1
ORD201612012962,desktop,Macintosh,(not set),(none),Americas,Windup Android,Lifestyle,20,8,1
ORD201612012956,desktop,Windows,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,15,18,1
ORD201612013017,desktop,Macintosh,(not set),(none),Americas,Google Sunglasses,Lifestyle,26,21,1
ORD201612012986,desktop,Macintosh,(not set),(none),Americas,Google Youth Baseball Raglan Heather/Black,Apparel,22,12,1
ORD201612012994,mobile,iOS,(not set),(none),Asia,Google Power Bank,Electronics,4,12,1
ORD201612013003,desktop,Macintosh,(not set),(none),Americas,YouTube Twill Cap,Apparel,7,6,1
ORD201612012920,desktop,Macintosh,(not set),(none),Americas,Ballpoint Pen Blue,Office,10,10,1
ORD201612013027,desktop,Macintosh,(not set),(none),Americas,Google Laptop and Cell Phone Stickers,Office,11,5,1
ORD201612012826,mobile,iOS,(not set),(none),Americas,Google Canvas Tote Natural/Navy,Bags,6,4,1
ORD201612013001,desktop,Macintosh,(not set),(none),Americas,Spiral Notebook and Pen Set,Office,10,10,1
ORD201612012766,tablet,iOS,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,18,5,1
ORD201612012871,desktop,Windows,(not set),(none),Americas,Google Men's Airflow 1/4 Zip Pullover Black,Apparel,6,6,1
ORD201612013008,desktop,Macintosh,(not set),(none),Americas,Compact Selfie Stick,Lifestyle,20,12,1
ORD201612014817,desktop,Macintosh,(not set),referral,Americas,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,8,4,1
ORD201612012736,desktop,Macintosh,(not set),(none),Americas,Google 22 oz Water Bottle,Drinkware,13,8,1
ORD201612012946,desktop,Macintosh,(not set),(none),Americas,Google Youth Short Sleeve T-shirt Royal Blue,Apparel,13,6,1
ORD201612013016,desktop,Macintosh,(not set),(none),Americas,Android BTTF Cosmos Graphic Tee,Apparel,6,10,1
ORD201612012829,desktop,Macintosh,(not set),(none),Americas,Google Men's Long Sleeve Raglan Ocean Blue,Apparel,20,10,1
ORD201612013001,desktop,Macintosh,(not set),(none),Americas,Google Metallic Notebook Set,Office,14,10,1
ORD201612013006,desktop,Windows,(not set),(none),Americas,Ballpoint Stick Pen 4 Pack,Office,6,18,1
ORD201612013012,desktop,Macintosh,(not set),(none),Americas,26 oz Double Wall Insulated Bottle,Drinkware,8,4,1
ORD201612013017,desktop,Macintosh,(not set),(none),Americas,Rocket Flashlight,Electronics,11,7,1
ORD201612012857,desktop,Macintosh,(not set),(none),Americas,24 oz YouTube Sergeant Stripe Bottle,Drinkware,4,4,1
ORD201612013004,mobile,Android,(not set),(none),Americas,Google Men's Pullover Hoodie Grey,Apparel,15,11,1
ORD201612013016,desktop,Macintosh,(not set),(none),Americas,Collapsible Shopping Bag,Bags,13,6,1
ORD201612012935,desktop,Linux,(not set),(none),Americas,YouTube Men's Short Sleeve Hero Tee Black,Apparel,11,15,1
ORD201612012840,desktop,Windows,(not set),(none),Americas,YouTube Men's Short Sleeve Hero Tee Black,Apparel,17,8,1
ORD201612012997,desktop,Macintosh,(not set),(none),Americas,Sport Bag,Bags,40,13,1
ORD201612013012,desktop,Macintosh,(not set),(none),Americas,Google Laptop and Cell Phone Stickers,Office,11,12,1
ORD201612013013,desktop,Linux,(not set),(none),Americas,26 oz Double Wall Insulated Bottle,Drinkware,9,20,1
ORD201612012940,desktop,Chrome OS,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,12,30,1
ORD201612013012,desktop,Macintosh,(not set),(none),Americas,Google Sunglasses,Lifestyle,12,8,1
ORD201612012988,desktop,Macintosh,(not set),(none),Americas,Google Stylus Pen w/ LED Light,Office,9,4,1
ORD201612013021,desktop,Macintosh,(not set),(none),Americas,Google Women's Lightweight Microfleece Jacket,Apparel,26,24,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Google Hard Cover Journal,Office,6,108,1
ORD201612013016,desktop,Macintosh,(not set),(none),Americas,Google Men's Bayside Graphic Tee,Apparel,6,10,1
ORD201612012888,desktop,Windows,(not set),(none),Americas,Google Men's Short Sleeve Performance Badge Tee Black,Apparel,5,10,1
ORD201612012940,desktop,Chrome OS,(not set),(none),Americas,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,12,30,1
ORD201612012962,desktop,Macintosh,(not set),(none),Americas,8 pc Android Sticker Sheet,Office,12,24,1
ORD201612013003,desktop,Macintosh,(not set),(none),Americas,YouTube Leatherette Notebook Combo,Office,7,12,1
ORD201612012857,desktop,Macintosh,(not set),(none),Americas,YouTube Notebook and Pen Set,Office,4,4,1
ORD201612013006,desktop,Windows,(not set),(none),Americas,26 oz Double Wall Insulated Bottle,Drinkware,10,6,1
ORD201612012879,mobile,Android,(not set),(none),Americas,YouTube Twill Cap,Apparel,6,6,1
ORD201612013017,desktop,Macintosh,(not set),(none),Americas,Recycled Paper Journal Set,Office,24,14,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Google Slim Utility Travel Bag,Bags,11,12,1
ORD201612012888,desktop,Windows,(not set),(none),Americas,Google Twill Cap,Apparel,9,10,1
ORD201612013012,desktop,Macintosh,(not set),(none),Americas,Google G Noise-reducing Bluetooth Headphones,Electronics,8,4,1
ORD201612013008,desktop,Macintosh,(not set),(none),Americas,Google Kick Ball,Lifestyle,16,12,1
ORD201612013003,desktop,Macintosh,(not set),(none),Americas,YouTube Custom Decals,Office,7,12,1
ORD201612012962,desktop,Macintosh,(not set),(none),Americas,Crunch Noise Dog Toy,Accessories,8,8,1
ORD201612013013,desktop,Linux,(not set),(none),Americas,Bottle Opener Clip,Drinkware,10,20,1
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,Recycled Mouse Pad,Electronics,13,6,1
ORD201612012962,desktop,Macintosh,(not set),(none),Americas,Keyboard DOT Sticker,Office,14,24,1
